name	barcode20	barcode18	barcode16	barcode07	barcode14	barcode04	barcode32	barcode17	barcode12	barcode11	barcode01	barcode10	barcode31	barcode21	barcode15	barcode30	barcode09	barcode22	barcode03	barcode13	barcode02	barcode06	barcode08	barcode05	barcode33	barcode19
Abyssalbus_ytuae	0.00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	0	0.00003	0	0	0	0	0.00001	0
Abyssibius_alkaniclasticus	0	0.00005	0.00005	0.00002	0.00003	0.00004	0.00002	0.00004	0	0	0.00005	0	0.00003	0	0.00004	0.00004	0.00004	0	0.00003	0.00002	0.00002	0.00004	0	0.00003	0.00004	0.00004
Acaryochloris_marina	0.00006	0	0	0	0	0	0.00001	0	0	0	0	0	0	0	0	0.00002	0	0	0.00005	0	0	0	0	0	0.00002	0
Aceticella_autotrophica	0.00004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetivibrio_clariflavus	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015	0	0	0	0	0.00001	0
Acetivibrio_saccincola	0.00012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00008	0	0	0	0	0	0
Acetivibrio_thermocellus	0.00028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00017	0	0	0	0	0.00001	0
Acetoanaerobium_sticklandii	0.00007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00003	0	0	0	0	0	0
Acetobacter_aceti	0.00013	0.00013	0.00014	0.00013	0.00005	0.00008	0.00006	0.00012	0.00009	0	0.00009	0.00007	0.00008	0	0.00009	0.00007	0.00010	0	0	0.00006	0.00010	0.00010	0	0.00010	0.00009	0.00012
Acetobacter_ascendens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0	0	0	0	0	0	0	0
Acetobacter_ghanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0	0	0	0	0	0	0.00002	0
Acetobacter_pasteurianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00002	0	0	0	0	0	0	0	0	0.00004	0
Acetobacter_persici	0	0	0.00002	0	0	0.00002	0.00001	0	0	0	0	0	0.00001	0	0	0.00001	0.00003	0	0	0	0	0	0	0.00002	0.00001	0
Acetobacter_senegalensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0	0	0	0	0	0	0.00001	0
Acetobacter_tropicalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0	0	0	0	0	0	0	0
Acetobacter_vaccinii	0	0	0	0	0	0.00002	0.00002	0	0	0	0	0	0.00001	0	0.00003	0.00001	0.00004	0	0	0	0	0	0	0	0.00002	0.00002
Acetobacterium_sp._KB-1	0.00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	0	0.00005	0	0	0	0	0	0
Acetobacterium_wieringae	0.00020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0	0.00014	0	0	0	0	0.00001	0
